slug,category,title,has_short_description,short_description_length,has_long_description,long_description_length,has_input_schema,has_output_schema,example_calls_count,example_responses_count,has_capability_page,capability_page_length,has_structured_data_markup,page_has_code_example,page_has_response_example,test_files_count,docs_files_count,sample_files_count,tier_classification,maintenance_class,last_updated
sql-optimize,developer-tools,SQL Optimize,yes,130,yes,130,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
iban-to-bank,data-extraction,IBAN to Bank,yes,159,yes,159,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
vat-validate,validation,EU VAT Validation + VIES Enrichment,yes,140,yes,140,yes,yes,1,1,yes,28221,yes,yes,yes,3,2,1,paid,,
brand-mention-search,competitive-intelligence,Brand Mention Search,yes,138,yes,138,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
gdpr-website-check,compliance,GDPR Website Check,yes,133,yes,133,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
employer-review-summary,data-extraction,Employer Review Summary,yes,114,yes,114,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
fake-data-generate,developer-tools,Fake Data Generate,yes,124,yes,124,yes,yes,4,1,yes,28221,yes,yes,yes,1,0,1,paid,,
translate,text-processing,Translate Text,yes,134,yes,134,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
age-verify,validation,Age Verify,yes,197,yes,197,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
us-company-data,data-extraction,US Company Data,yes,158,yes,158,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
public-holiday-lookup,data-extraction,Public Holiday Lookup,yes,115,yes,115,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
finnish-company-data,data-extraction,Finnish Company Data,yes,131,yes,131,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
swiss-company-data,data-extraction,Swiss Company Data,yes,120,yes,120,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
container-track,data-extraction,Container Track,yes,106,yes,106,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
competitor-compare,competitive-intelligence,Competitor Compare,yes,178,yes,178,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
spanish-company-data,data-extraction,Spanish Company Data,yes,113,yes,113,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
lei-lookup,validation,LEI Lookup,yes,174,yes,174,yes,yes,1,1,yes,28221,yes,yes,yes,3,0,1,paid,,
gitignore-generate,developer-tools,Gitignore Generate,yes,159,yes,159,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
html-to-pdf,file-conversion,HTML to PDF,yes,125,yes,125,yes,yes,5,0,yes,28221,yes,yes,yes,1,0,1,paid,,
link-extract,web-scraping,Link Extract,yes,114,yes,114,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
gdpr-fine-lookup,data-extraction,GDPR Fine Lookup,yes,112,yes,112,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
og-image-check,validation,OG Image Check,yes,102,yes,102,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
npm-package-info,data-extraction,npm Package Info,yes,114,yes,114,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
product-reviews-extract,data-extraction,Product Reviews Extract,yes,119,yes,119,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
irish-company-data,data-extraction,Irish Company Data,yes,123,yes,123,yes,yes,1,0,yes,28221,yes,yes,yes,1,0,1,paid,,
portuguese-company-data,data-extraction,Portuguese Company Data,yes,89,no,89,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
company-id-detect,validation,Company ID Detection,yes,187,yes,187,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
readme-generate,developer-tools,README Generate,yes,121,yes,121,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
ssl-check,web-intelligence,SSL Certificate Check,yes,131,yes,131,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
receipt-categorize,document-extraction,Receipt Categorize,yes,138,yes,138,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
sql-explain,developer-tools,SQL Explain,yes,121,yes,121,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
changelog-generate,developer-tools,Changelog Generate,yes,159,yes,159,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
json-schema-validate,validation,JSON Schema Validate,yes,124,yes,124,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
release-notes-generate,developer-tools,Release Notes Generate,yes,119,yes,119,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
austrian-company-data,data-extraction,Austrian Company Data,yes,116,yes,116,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
swift-validate,validation,SWIFT/BIC Validation,yes,147,yes,147,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
email-reputation-score,validation,Email Reputation Score,yes,172,yes,172,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
url-health-check,validation,URL Health Check,yes,119,yes,119,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
json-repair,data-processing,JSON Repair,yes,128,yes,128,yes,yes,1,1,yes,28221,yes,yes,yes,1,2,1,free,,
structured-scrape,web-scraping,Structured Scrape,yes,134,yes,134,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
salary-benchmark,data-extraction,Salary Benchmark,yes,95,no,95,yes,yes,4,1,yes,28221,yes,yes,yes,1,0,1,paid,,
pii-redact,data-processing,PII Redaction,yes,205,yes,205,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
csv-to-json,data-processing,CSV to JSON,yes,94,no,94,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
vat-rate-lookup,data-extraction,VAT Rate Lookup,yes,125,yes,125,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
pricing-page-extract,competitive-intelligence,Pricing Page Extract,yes,145,yes,145,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
brazilian-company-data,data-extraction,Brazilian Company Data,yes,150,yes,150,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
latvian-company-data,data-extraction,Latvian Company Data,yes,141,yes,141,yes,yes,1,0,yes,28221,yes,yes,yes,1,0,1,paid,,
google-search,web-scraping,Google Search,yes,109,yes,109,yes,yes,4,1,yes,28221,yes,yes,yes,1,0,1,paid,,
iso-country-lookup,data-extraction,ISO Country Lookup,yes,126,yes,126,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
json-to-pydantic,developer-tools,JSON to Pydantic,yes,108,yes,108,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
blog-post-outline,content-writing,Blog Post Outline,yes,158,yes,158,yes,yes,4,1,yes,28221,yes,yes,yes,1,0,1,paid,,
url-to-text,web-scraping,URL to Text,yes,122,yes,122,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
swedish-company-data,data-extraction,Swedish Company Data,yes,175,yes,175,yes,yes,1,1,yes,28221,yes,yes,yes,3,1,1,paid,,
barcode-lookup,data-extraction,Barcode Lookup,yes,132,yes,132,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
prompt-optimize,agent-tooling,Prompt Optimize,yes,132,yes,132,yes,yes,4,1,yes,28221,yes,yes,yes,1,0,1,paid,,
jsdoc-generate,developer-tools,JSDoc Generate,yes,112,yes,112,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
error-explain,developer-tools,Error Explain,yes,115,yes,115,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
email-draft,content-writing,Email Draft,yes,153,yes,153,yes,yes,4,1,yes,28221,yes,yes,yes,1,0,1,paid,,
uptime-check,monitoring,Uptime Check,yes,106,yes,106,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
regex-explain,developer-tools,Regex Explain,yes,116,yes,116,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
header-security-check,security,Header Security Check,yes,164,yes,164,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
invoice-extract,data-extraction,Invoice / Receipt Extraction,yes,122,yes,122,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
ip-risk-score,validation,IP Risk Score,yes,136,yes,136,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
web-extract,data-extraction,Web Page Data Extraction,yes,139,yes,139,yes,yes,2,0,yes,28221,yes,yes,yes,1,0,1,paid,,
email-deliverability-check,validation,Email Deliverability Check,yes,109,yes,109,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
markdown-to-html,file-conversion,Markdown to HTML,yes,111,yes,111,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
ticker-lookup,data-extraction,Ticker Lookup,yes,91,no,91,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
estonian-company-data,data-extraction,Estonian Company Data,yes,115,yes,115,yes,yes,1,0,yes,28221,yes,yes,yes,1,0,1,paid,,
